"nama";"stok";"lokasi";"jenis";"created_at";"updated_at"
"DPPH (himedia)";"1,00";"Rak Stok (Kayu Putih)";"Padat";"2024-04-23 00:26:43";"2024-04-23 00:26:43"
"Masker Medis";"7,00";"Rak Stok (Kayu Putih)";"Padat";"2024-04-23 01:14:52";"2024-04-23 01:16:45"
"handscon";"7,00";"Rak Stok (Kayu Putih)";"Padat";"2024-04-23 01:15:31";"2024-04-23 01:17:57"
"Corong Paling Kecil (10 mm)";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-08-07 21:35:18"
"Corong Kecil (25 mm)";"35,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Corong Sedang (75 mm)";"30,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Corong Besar ( 100 mm )";"15,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 10 ML";"50,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 100 ML";"30,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 1000 ML";"30,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 25 ML";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 250 ML";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 5 ML";"0,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 50 ML";"20,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Gelas Ukur 500 ML";"10,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Ukur 10 ML";"50,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
"Labu Ukur 100 ML";"50,00";"Lemari Depo I ";"Alat";"2024-04-23 16:16:24";"2024-04-23 16:16:24"
